"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000028927",1220.79537988577,-6.659655417413,0.234589140463809,-28.38859209018,2.79677031989686e-177,1.05223489053405e-174
"ENSMUSG00000042784",1306.45819101401,-3.2848454021169,0.116142082738623,-28.2829903223747,5.59519067723628e-176,2.06815916453844e-173
"ENSMUSG00000054753",978.673643927321,-7.42861524691156,0.264611488254958,-28.073668667605,2.05422079770237e-173,7.33565728589683e-171
"ENSMUSG00000107871",978.673643927321,-7.42861524691156,0.264611488254958,-28.073668667605,2.05422079770237e-173,7.33565728589683e-171
"ENSMUSG00000040990",961.052106568517,-3.85341476874871,0.137630831588599,-27.9981943309562,1.70913961314105e-172,6.00164375154479e-170
"ENSMUSG00000041245",1237.70068908614,-5.05069288457619,0.181547065553406,-27.8202948044368,2.46506770954636e-170,8.51418222498888e-168
"ENSMUSG00000093930",5302.50347713898,3.65452735372207,0.131406535876418,27.8108492043273,3.20686156369969e-170,1.08976397234821e-167
"ENSMUSG00000056476",795.428127526752,-5.03917675370351,0.181383344984676,-27.7819154461466,7.17487111485512e-170,2.39948189712512e-167
"ENSMUSG00000025083",2803.35550114768,-4.14617175505763,0.149551457237233,-27.7240478404738,3.58256140127582e-169,1.17939040880438e-166
"ENSMUSG00000021403",3660.23091841145,-3.64813577202375,0.131724327702386,-27.6952316679592,7.96933475903556e-169,2.58316790827877e-166
"ENSMUSG00000045038",1297.18869737176,-2.78394405367767,0.100544204579441,-27.6887570529047,9.53652560813147e-169,3.04431906117761e-166
"ENSMUSG00000027187",2863.58003466016,2.58655146053012,0.0939412769153135,27.5337055814331,6.93597743706718e-167,2.18110609882938e-164
"ENSMUSG00000021136",785.571920352505,-3.66634760969949,0.133490782159508,-27.465174376749,4.57767941336719e-166,1.4183401111799e-163
"ENSMUSG00000017607",1475.75295858478,-6.69936923779741,0.244957544980394,-27.3491034470223,1.1067391248142e-164,3.37940385807396e-162
"ENSMUSG00000042195",558.389911703658,-3.89274548307062,0.142473299066964,-27.3226317391653,2.28418863924428e-164,6.87508149146255e-162
"ENSMUSG00000061086",628.206063035718,-5.98451224759007,0.219312925718678,-27.2875491856174,5.96091856226609e-164,1.76888159420259e-161
"ENSMUSG00000079018",1598.22391929544,-8.65716449975363,0.317328035978265,-27.2814359848955,7.04447503257279e-164,2.06138950640661e-161
"ENSMUSG00000028545",538.859729895301,-3.19411153713696,0.117342403554742,-27.2204372875902,3.72163314136992e-163,1.07412450213045e-160
"ENSMUSG00000050052",2053.9537590302,-2.88257309595587,0.10599174694867,-27.1962032794105,7.20242329630939e-163,2.05064670851274e-160
"ENSMUSG00000035158",2368.78953693717,-4.94998657404321,0.182569587051947,-27.1128759941532,6.94211777305378e-162,1.95017972480627e-159
"ENSMUSG00000058620",2249.54681407338,-4.47094844139517,0.165122112134031,-27.0766185316602,1.85659306844533e-161,5.14691570514141e-159
"ENSMUSG00000034591",1017.59038152852,-4.53511350532984,0.167704936854268,-27.0422182578367,4.71553493962625e-161,1.29028059276604e-158
"ENSMUSG00000027386",6686.95710766059,-6.49392402376486,0.240594511652293,-26.9911561122802,1.87703267264507e-160,5.07015402307166e-158
"ENSMUSG00000031538",915.545032507715,-3.70986984526358,0.137485900907144,-26.9836384733672,2.29986741057565e-160,6.13365904726816e-158
"ENSMUSG00000055679",5057.27702513786,-11.2782764357819,0.41858574831655,-26.9437659574898,6.74928670741094e-160,1.77750902048051e-157
"ENSMUSG00000073012",6248.76544324856,-10.7924770872321,0.402793803787867,-26.7940494261327,3.79067117942691e-158,9.85995692337599e-156
"ENSMUSG00000037613",1628.80602982171,-4.20425824362234,0.15746486235106,-26.6996597263023,4.74981079822975e-157,1.2204117525354e-154
"ENSMUSG00000085957",1214.86134947255,-7.61420629791188,0.286116581072962,-26.6122510948437,4.89762431054412e-156,1.24322947709463e-153
"ENSMUSG00000026180",1027.26233472383,-4.52429455014253,0.170448697987422,-26.5434386038924,3.05761341700026e-155,7.66914965271173e-153
"ENSMUSG00000027643",2533.95115748726,-10.4140171209629,0.392738668894976,-26.5164037711494,6.27066758046131e-155,1.55431406179693e-152
"ENSMUSG00000021068",1303.14554175001,-2.42085193479698,0.0914000806134168,-26.4863216591258,1.39326037801063e-154,3.41332591910534e-152
"ENSMUSG00000022094",3580.97612498813,-4.09131684403846,0.15451570317236,-26.4783239505091,1.72244646589284e-154,4.17129018274669e-152
"ENSMUSG00000030494",1658.22209494011,2.33012746779673,0.088056487819344,26.4617352508676,2.67372848833443e-154,6.40145290008161e-152
"ENSMUSG00000054893",1097.67519288169,-4.1229125780884,0.156640702436905,-26.3208253917854,1.10784799338449e-152,2.62261228905819e-150
"ENSMUSG00000060470",558.686236980764,-5.92360309372893,0.225507450980122,-26.2678819169087,4.46621614873339e-152,1.04554120041849e-149
"ENSMUSG00000050148",3207.9400549982,2.8747661311323,0.109688792370289,26.2083852781206,2.13250690750474e-151,4.9373393444195e-149
"ENSMUSG00000023868",2213.20831344691,-6.77973406123878,0.258797900647237,-26.1970210897503,2.87342053159589e-151,6.58044534567323e-149
"ENSMUSG00000030208",5607.77063080738,4.08951538923792,0.157277738707538,26.0018704671389,4.71670982057225e-149,1.06856300225416e-146
